,exact_match,rouge1,rouge2,rougeL,rougeLsum,meteor,bert_score_avg_precision,bert_score_avg_recall,bert_score_avg_f1,bert_score_avg_precision_from_best_f1,bert_score_avg_recall_from_best_f1,iteration,summac_conv_scores
0,0.2576,0.358854181,0.240271772,0.357265966,0.357251819,0.318741838,0.876003115,0.875020974,0.874768003,0.875722724,0.874803859,0,0.263228155
1,0.2898,0.380058186,0.270907986,0.378548696,0.378543793,0.333507648,0.885114475,0.879739267,0.881610011,0.884762596,0.879518959,1,0.283542341
2,0.294,0.381832657,0.275086447,0.380280074,0.380267171,0.334504381,0.886251664,0.88035632,0.882489416,0.885888015,0.880124966,2,0.286713094
3,0.2952,0.381433765,0.27558028,0.379967995,0.379955092,0.334825277,0.886270268,0.880554256,0.882588507,0.885918077,0.880300987,3,0.285970493
4,0.2942,0.380328753,0.276651465,0.3788892,0.378876296,0.33506444,0.886308612,0.880598692,0.882628693,0.885953733,0.880319224,4,0.286905338
5,0.2934,0.377338877,0.274745213,0.375796365,0.375783462,0.331871121,0.885645258,0.87983444,0.881900397,0.885271003,0.87956498,5,0.286585881
6,0.293,0.377981749,0.27464594,0.376490505,0.376456173,0.331926798,0.886468473,0.880266634,0.882517631,0.886102996,0.879978299,6,0.287161029
7,0.2914,0.374647394,0.270618413,0.373158085,0.373145182,0.328264017,0.88571431,0.879797507,0.881901324,0.885307599,0.879514511,7,0.286396477
8,0.2912,0.375954654,0.272643157,0.374585123,0.37457222,0.329674593,0.885815559,0.880122646,0.882119102,0.885409381,0.879832991,8,0.287187543
9,0.2884,0.374377064,0.271296769,0.373024993,0.37301209,0.327621747,0.885481854,0.87957291,0.8816741,0.88507667,0.879295505,9,0.287256552
10,0.288,0.373709202,0.271008305,0.372369373,0.37235647,0.326768066,0.885635154,0.879801215,0.881862029,0.885203477,0.879536844,10,0.286916506
,,,,,,,,,,,,,
change in performance from iteration 0,,,,,,,,,,,,,
,exact_match,rouge1,rouge2,rougeL,rougeLsum,meteor,bert_score_avg_precision,bert_score_avg_recall,bert_score_avg_f1,bert_score_avg_precision_from_best_f1,bert_score_avg_recall_from_best_f1,iteration,summac_conv_scores
1,0.0322,0.021204005,0.030636214,0.02128273,0.021291973,0.01476581,0.00911136,0.004718293,0.006842007,0.009039872,0.0047151,1,0.020314185
2,0.0364,0.022978476,0.034814675,0.023014108,0.023015352,0.015762543,0.010248549,0.005335346,0.007721412,0.010165291,0.005321107,2,0.023484939
3,0.0376,0.022579584,0.035308508,0.022702029,0.022703273,0.016083439,0.010267153,0.005533281,0.007820504,0.010195353,0.005497128,3,0.022742337
4,0.0366,0.021474572,0.036379693,0.021623234,0.021624477,0.016322601,0.010305497,0.005577717,0.00786069,0.010231009,0.005515365,4,0.023677183
5,0.0358,0.018484696,0.034473441,0.018530399,0.018531643,0.013129282,0.009642143,0.004813466,0.007132393,0.00954828,0.004761121,5,0.023357725
6,0.0354,0.019127568,0.034374168,0.019224539,0.019204354,0.01318496,0.010465358,0.00524566,0.007749628,0.010380273,0.00517444,6,0.023932873
7,0.0338,0.015793213,0.030346641,0.015892119,0.015893363,0.009522179,0.009711195,0.004776533,0.00713332,0.009584876,0.004710653,7,0.023168322
8,0.0336,0.017100473,0.032371385,0.017319157,0.017320401,0.010932755,0.009812445,0.005101671,0.007351098,0.009686657,0.005029132,8,0.023959387
9,0.0308,0.015522883,0.031024997,0.015759027,0.015760271,0.008879909,0.009478739,0.004551935,0.006906096,0.009353947,0.004491646,9,0.024028396
10,0.0304,0.014855021,0.030736533,0.015103407,0.01510465,0.008026228,0.009632039,0.004780241,0.007094026,0.009480753,0.004732985,10,0.02368835
,,,,,,,,,,,,,
SC_baseline,,,,,,,,,,,,,
,exact_match,rouge1,rouge2,rougeL,rougeLsum,meteor,bert_score_avg_precision,bert_score_avg_recall,bert_score_avg_f1,bert_score_avg_precision_from_best_f1,bert_score_avg_recall_from_best_f1,iteration,summac_conv_scores
0,0.2626,0.364042011,0.244474754,0.36235119,0.362315996,0.323063687,0.877330133,0.875822806,0.87580825,0.877032828,0.875584079,0,0.264242219
,,,,,,,,,,,,,
change in performance from iteration 0,,,,,,,,,,,,,
1,0.005,0.00518783,0.004202982,0.005085224,0.005064177,0.004321849,0.001327018,0.000801832,0.001040247,0.001310105,0.00078022,0,0.001014063
2,0.005,0.00518783,0.004202982,0.005085224,0.005064177,0.004321849,0.001327018,0.000801832,0.001040247,0.001310105,0.00078022,0,0.001014063
3,0.005,0.00518783,0.004202982,0.005085224,0.005064177,0.004321849,0.001327018,0.000801832,0.001040247,0.001310105,0.00078022,0,0.001014063
4,0.005,0.00518783,0.004202982,0.005085224,0.005064177,0.004321849,0.001327018,0.000801832,0.001040247,0.001310105,0.00078022,0,0.001014063
5,0.005,0.00518783,0.004202982,0.005085224,0.005064177,0.004321849,0.001327018,0.000801832,0.001040247,0.001310105,0.00078022,0,0.001014063
6,0.005,0.00518783,0.004202982,0.005085224,0.005064177,0.004321849,0.001327018,0.000801832,0.001040247,0.001310105,0.00078022,0,0.001014063
7,0.005,0.00518783,0.004202982,0.005085224,0.005064177,0.004321849,0.001327018,0.000801832,0.001040247,0.001310105,0.00078022,0,0.001014063
8,0.005,0.00518783,0.004202982,0.005085224,0.005064177,0.004321849,0.001327018,0.000801832,0.001040247,0.001310105,0.00078022,0,0.001014063
9,0.005,0.00518783,0.004202982,0.005085224,0.005064177,0.004321849,0.001327018,0.000801832,0.001040247,0.001310105,0.00078022,0,0.001014063
10,0.005,0.00518783,0.004202982,0.005085224,0.005064177,0.004321849,0.001327018,0.000801832,0.001040247,0.001310105,0.00078022,0,0.001014063
