,exact_match,rouge1,rouge2,rougeL,rougeLsum,meteor,bert_score_avg_precision,bert_score_avg_recall,bert_score_avg_f1,bert_score_avg_precision_from_best_f1,bert_score_avg_recall_from_best_f1,iteration,summac_conv_scores
0,0.057777778,0.335835199,0.190932099,0.313339579,0.314198669,0.337531572,0.881325744,0.893198375,0.885480404,0.880019547,0.892028674,0,0.217778638
1,0.055555556,0.385373317,0.244422489,0.360820253,0.361074221,0.396416694,0.890986513,0.902614259,0.895027605,0.88954057,0.901417819,1,0.225346858
2,0.055555556,0.402125207,0.267010087,0.376432093,0.376432093,0.416125709,0.893868461,0.904921525,0.897620172,0.892396236,0.903693878,2,0.228420659
3,0.053333333,0.405106813,0.264667592,0.378890297,0.378890297,0.415347793,0.893685291,0.905151252,0.897600743,0.892126511,0.903927539,3,0.2278401
4,0.053333333,0.412835337,0.271218766,0.386255338,0.386541191,0.426687897,0.89491771,0.906975992,0.899150665,0.893305471,0.905878354,4,0.229013741
5,0.055555556,0.412917552,0.272544027,0.386387314,0.386387314,0.425042862,0.894926103,0.906350409,0.898891944,0.893430378,0.905187814,5,0.229782557
6,0.057777778,0.411230418,0.27178141,0.385104737,0.385104737,0.423233541,0.894398122,0.906376936,0.898644873,0.892861435,0.905293412,6,0.229530007
7,0.053333333,0.41002987,0.268867477,0.383844513,0.383844513,0.422111949,0.893910598,0.905941036,0.898190384,0.892354459,0.904899296,7,0.22874111
8,0.053333333,0.414060422,0.275353892,0.387596179,0.387596179,0.425004685,0.894829594,0.906323118,0.898809044,0.893271745,0.905256502,8,0.232427779
9,0.053333333,0.411261054,0.272019606,0.384677445,0.384677445,0.425323983,0.894114928,0.905964802,0.898262221,0.892507195,0.904948099,9,0.231506633
10,0.051111111,0.405255049,0.268036647,0.377532857,0.377532857,0.42016955,0.893230362,0.905020548,0.897339145,0.891547374,0.904051383,10,0.231557143
,,,,,,,,,,,,,
change in performance from iteration 0,,,,,,,,,,,,,
1,-0.002222222,0.049538117,0.05349039,0.047480673,0.046875551,0.058885122,0.009660769,0.009415884,0.009547201,0.009521023,0.009389145,1,0.00756822
2,-0.002222222,0.066290007,0.076077988,0.063092514,0.062233424,0.078594137,0.012542717,0.011723149,0.012139769,0.01237669,0.011665204,2,0.010642021
3,-0.004444444,0.069271613,0.073735492,0.065550718,0.064691628,0.077816221,0.012359547,0.011952877,0.01212034,0.012106965,0.011898865,3,0.010061463
4,-0.004444444,0.077000138,0.080286667,0.072915759,0.072342522,0.089156324,0.013591966,0.013777617,0.013670261,0.013285924,0.01384968,4,0.011235103
5,-0.002222222,0.077082353,0.081611927,0.073047735,0.072188645,0.08751129,0.013600359,0.013152034,0.013411541,0.013410831,0.01315914,5,0.012003919
6,0,0.075395219,0.080849311,0.071765158,0.070906068,0.085701969,0.013072377,0.013178561,0.013164469,0.012841889,0.013264738,6,0.011751369
7,-0.004444444,0.074194671,0.077935377,0.070504934,0.069645844,0.084580377,0.012584854,0.012742661,0.01270998,0.012334912,0.012870622,7,0.010962472
8,-0.004444444,0.078225223,0.084421793,0.0742566,0.07339751,0.087473113,0.01350385,0.013124743,0.013328641,0.013252198,0.013227828,8,0.014649141
9,-0.004444444,0.075425855,0.081087506,0.071337866,0.070478776,0.087792411,0.012789184,0.012766427,0.012781818,0.012487648,0.012919425,9,0.013727995
10,-0.006666667,0.06941985,0.077104548,0.064193277,0.063334187,0.082637977,0.011904618,0.011822173,0.011858742,0.011527827,0.012022709,10,0.013778506
,,,,,,,,,,,,,
SC_baseline,,,,,,,,,,,,,
,exact_match,rouge1,rouge2,rougeL,rougeLsum,meteor,bert_score_avg_precision,bert_score_avg_recall,bert_score_avg_f1,bert_score_avg_precision_from_best_f1,bert_score_avg_recall_from_best_f1,iteration,summac_conv_scores
0,0.071111111,0.335113335,0.198301529,0.3150369,0.315337509,0.325725313,0.883158007,0.889113421,0.884156713,0.881372604,0.888053371,0,0.220926731
,,,,,,,,,,,,,
change in performance from iteration 0,,,,,,,,,,,,,
1,0.013333333,-0.000721864,0.00736943,0.00169732,0.001138839,-0.011806259,0.001832263,-0.004084954,-0.00132369,0.001353058,-0.003975303,0,0.003148093
2,0.013333333,-0.000721864,0.00736943,0.00169732,0.001138839,-0.011806259,0.001832263,-0.004084954,-0.00132369,0.001353058,-0.003975303,0,0.003148093
3,0.013333333,-0.000721864,0.00736943,0.00169732,0.001138839,-0.011806259,0.001832263,-0.004084954,-0.00132369,0.001353058,-0.003975303,0,0.003148093
4,0.013333333,-0.000721864,0.00736943,0.00169732,0.001138839,-0.011806259,0.001832263,-0.004084954,-0.00132369,0.001353058,-0.003975303,0,0.003148093
5,0.013333333,-0.000721864,0.00736943,0.00169732,0.001138839,-0.011806259,0.001832263,-0.004084954,-0.00132369,0.001353058,-0.003975303,0,0.003148093
6,0.013333333,-0.000721864,0.00736943,0.00169732,0.001138839,-0.011806259,0.001832263,-0.004084954,-0.00132369,0.001353058,-0.003975303,0,0.003148093
7,0.013333333,-0.000721864,0.00736943,0.00169732,0.001138839,-0.011806259,0.001832263,-0.004084954,-0.00132369,0.001353058,-0.003975303,0,0.003148093
8,0.013333333,-0.000721864,0.00736943,0.00169732,0.001138839,-0.011806259,0.001832263,-0.004084954,-0.00132369,0.001353058,-0.003975303,0,0.003148093
9,0.013333333,-0.000721864,0.00736943,0.00169732,0.001138839,-0.011806259,0.001832263,-0.004084954,-0.00132369,0.001353058,-0.003975303,0,0.003148093
10,0.013333333,-0.000721864,0.00736943,0.00169732,0.001138839,-0.011806259,0.001832263,-0.004084954,-0.00132369,0.001353058,-0.003975303,0,0.003148093
